"STATION","NAME","DATE","TAVG","TOBS"
"USC00202437","EATON RAPIDS, MI US","2012-06-08",,"57"
"USC00202437","EATON RAPIDS, MI US","2012-06-09",,"68"
"USC00202437","EATON RAPIDS, MI US","2012-06-10",,"74"
"USC00202437","EATON RAPIDS, MI US","2012-06-11",,"69"
"USC00202437","EATON RAPIDS, MI US","2012-06-12",,"66"
"USC00202437","EATON RAPIDS, MI US","2012-06-13",,"51"
"USC00202437","EATON RAPIDS, MI US","2012-06-14",,"55"
"USC00202437","EATON RAPIDS, MI US","2012-06-15",,"62"
"USC00202437","EATON RAPIDS, MI US","2012-06-16",,"70"
"USC00202437","EATON RAPIDS, MI US","2012-06-17",,"70"
"USC00202437","EATON RAPIDS, MI US","2012-06-18",,"66"
"USC00202437","EATON RAPIDS, MI US","2012-06-19",,"76"
"USC00202437","EATON RAPIDS, MI US","2012-06-20",,"74"
"USC00202437","EATON RAPIDS, MI US","2012-06-21",,"77"
"USC00202437","EATON RAPIDS, MI US","2012-06-22",,"63"
"USC00202437","EATON RAPIDS, MI US","2012-06-23",,"58"
"USC00202437","EATON RAPIDS, MI US","2012-06-24",,"69"
"USC00202437","EATON RAPIDS, MI US","2012-06-25",,"57"
"USC00202437","EATON RAPIDS, MI US","2012-06-26",,"56"
"USC00202437","EATON RAPIDS, MI US","2012-06-27",,"60"
"USC00202437","EATON RAPIDS, MI US","2012-06-28",,"70"
"USC00202437","EATON RAPIDS, MI US","2012-06-29",,"71"
"USC00202437","EATON RAPIDS, MI US","2012-06-30",,"88"
"USC00202437","EATON RAPIDS, MI US","2012-07-01",,"70"
"USC00202437","EATON RAPIDS, MI US","2012-07-02",,"67"
"USC00202437","EATON RAPIDS, MI US","2012-07-03",,"76"
"USC00202437","EATON RAPIDS, MI US","2012-07-04",,"76"
"USC00202437","EATON RAPIDS, MI US","2012-07-06",,"76"
"USC00202437","EATON RAPIDS, MI US","2012-07-09",,"66"
"USC00202437","EATON RAPIDS, MI US","2012-07-10",,"65"
"USC00202437","EATON RAPIDS, MI US","2012-07-11",,"63"
"USC00202437","EATON RAPIDS, MI US","2012-07-12",,"65"
"USC00202437","EATON RAPIDS, MI US","2012-07-15",,"72"
"USC00202437","EATON RAPIDS, MI US","2012-07-16",,"69"
"USC00202437","EATON RAPIDS, MI US","2012-07-17",,"78"
"USC00202437","EATON RAPIDS, MI US","2012-07-21",,"70"
"USC00202437","EATON RAPIDS, MI US","2012-07-23",,"75"
"USC00202437","EATON RAPIDS, MI US","2012-07-24",,"74"
"USC00202437","EATON RAPIDS, MI US","2012-07-25",,"69"
"USC00202437","EATON RAPIDS, MI US","2012-07-26",,"72"
"USC00202437","EATON RAPIDS, MI US","2012-07-27",,"72"
"USC00202437","EATON RAPIDS, MI US","2012-08-01",,"64"
"USC00202437","EATON RAPIDS, MI US","2012-08-02",,"64"
"USC00202437","EATON RAPIDS, MI US","2012-08-03",,"70"
"USC00202437","EATON RAPIDS, MI US","2012-08-04",,"75"
"USC00202437","EATON RAPIDS, MI US","2012-08-05",,"73"
"USC00202437","EATON RAPIDS, MI US","2012-08-06",,"57"
"USC00202437","EATON RAPIDS, MI US","2012-08-07",,"62"
"USC00202437","EATON RAPIDS, MI US","2012-08-08",,"68"
"USC00202437","EATON RAPIDS, MI US","2012-08-09",,"66"
"USC00202437","EATON RAPIDS, MI US","2012-08-10",,"61"
"USC00202437","EATON RAPIDS, MI US","2012-08-11",,"59"
"USC00202437","EATON RAPIDS, MI US","2012-08-12",,"59"
"USC00202437","EATON RAPIDS, MI US","2012-08-13",,"65"
"USC00202437","EATON RAPIDS, MI US","2012-08-14",,"63"
"USC00202437","EATON RAPIDS, MI US","2012-08-15",,"60"
"USC00202437","EATON RAPIDS, MI US","2012-08-17",,"60"
"USC00202437","EATON RAPIDS, MI US","2012-08-18",,"49"
"USC00202437","EATON RAPIDS, MI US","2012-08-19",,"54"
"USC00202437","EATON RAPIDS, MI US","2012-08-20",,"52"
"USC00202437","EATON RAPIDS, MI US","2012-08-21",,"57"
"USC00202437","EATON RAPIDS, MI US","2012-08-22",,"53"
"USC00202437","EATON RAPIDS, MI US","2012-08-23",,"54"
"USC00202437","EATON RAPIDS, MI US","2012-08-24",,"59"
"USC00202437","EATON RAPIDS, MI US","2012-08-25",,"64"
"USC00202437","EATON RAPIDS, MI US","2012-08-26",,"69"
"USC00202437","EATON RAPIDS, MI US","2012-08-27",,"70"
"USC00202437","EATON RAPIDS, MI US","2012-09-04",,"70"
"USC00202437","EATON RAPIDS, MI US","2012-09-05",,"67"
"USC00202437","EATON RAPIDS, MI US","2012-09-13",,"65"
"USC00202437","EATON RAPIDS, MI US","2012-09-14",,"53"
"USC00202437","EATON RAPIDS, MI US","2012-09-15",,"44"
"USC00202437","EATON RAPIDS, MI US","2012-09-16",,"53"
"USC00202437","EATON RAPIDS, MI US","2012-09-17",,"51"
"USC00202437","EATON RAPIDS, MI US","2012-09-18",,"52"
"USC00202437","EATON RAPIDS, MI US","2012-09-19",,"40"
"USC00202437","EATON RAPIDS, MI US","2012-09-20",,"55"
"USC00202437","EATON RAPIDS, MI US","2012-09-21",,"47"
"USC00202437","EATON RAPIDS, MI US","2012-09-24",,"40"
"USC00202437","EATON RAPIDS, MI US","2012-09-25",,"50"
"USC00202437","EATON RAPIDS, MI US","2012-10-01",,"38"
"USC00202437","EATON RAPIDS, MI US","2012-10-02",,"51"
"USC00202437","EATON RAPIDS, MI US","2012-10-03",,"56"
"USC00202437","EATON RAPIDS, MI US","2012-10-04",,"54"
"USC00202437","EATON RAPIDS, MI US","2012-10-05",,"50"
"USC00202437","EATON RAPIDS, MI US","2012-10-06",,"40"
"USC00202437","EATON RAPIDS, MI US","2012-10-07",,"39"
"USC00202437","EATON RAPIDS, MI US","2012-10-08",,"33"
"USC00202437","EATON RAPIDS, MI US","2012-10-09",,"43"
"USC00202437","EATON RAPIDS, MI US","2012-10-11",,"35"
"USC00202437","EATON RAPIDS, MI US","2012-10-12",,"33"
"USC00202437","EATON RAPIDS, MI US","2012-10-15",,"47"
"USC00202437","EATON RAPIDS, MI US","2012-10-16",,"34"
"USC00202437","EATON RAPIDS, MI US","2012-10-17",,"56"
"USC00202437","EATON RAPIDS, MI US","2012-10-18",,"55"
"USC00202437","EATON RAPIDS, MI US","2012-10-19",,"44"
"USC00202437","EATON RAPIDS, MI US","2012-10-22",,"42"
"USC00202437","EATON RAPIDS, MI US","2012-10-23",,"60"
"USC00202437","EATON RAPIDS, MI US","2012-10-24",,"60"
"USC00202437","EATON RAPIDS, MI US","2012-10-25",,"60"
"USC00202437","EATON RAPIDS, MI US","2012-10-26",,"45"
"USC00202437","EATON RAPIDS, MI US","2012-10-29",,"35"
"USC00202437","EATON RAPIDS, MI US","2012-10-30",,"35"
"USC00202437","EATON RAPIDS, MI US","2012-11-01",,"38"
"USC00202437","EATON RAPIDS, MI US","2012-11-02",,"37"
"USC00202437","EATON RAPIDS, MI US","2012-11-05",,"22"
"USC00202437","EATON RAPIDS, MI US","2012-11-06",,"22"
"USC00202437","EATON RAPIDS, MI US","2012-11-07",,"28"
"USC00202437","EATON RAPIDS, MI US","2012-11-08",,"24"
"USC00202437","EATON RAPIDS, MI US","2012-11-09",,"35"
"USC00202437","EATON RAPIDS, MI US","2012-11-12",,"44"
"USC00202437","EATON RAPIDS, MI US","2012-11-13",,"31"
"USC00202437","EATON RAPIDS, MI US","2012-11-14",,"22"
"USC00202437","EATON RAPIDS, MI US","2012-11-15",,"23"
"USC00202437","EATON RAPIDS, MI US","2012-11-16",,"23"
"USC00202437","EATON RAPIDS, MI US","2012-11-19",,"31"
"USC00202437","EATON RAPIDS, MI US","2012-11-20",,"36"
"USC00202437","EATON RAPIDS, MI US","2012-11-21",,"31"
"USC00202437","EATON RAPIDS, MI US","2012-11-22",,"41"
"USC00202437","EATON RAPIDS, MI US","2012-11-26",,"31"
"USC00202437","EATON RAPIDS, MI US","2012-11-27",,"19"
"USC00202437","EATON RAPIDS, MI US","2012-11-28",,"28"
"USC00202437","EATON RAPIDS, MI US","2012-11-29",,"32"
"USC00202437","EATON RAPIDS, MI US","2012-11-30",,"36"
"USC00202437","EATON RAPIDS, MI US","2012-12-01",,"36"
"USC00202437","EATON RAPIDS, MI US","2012-12-02",,"51"
"USC00202437","EATON RAPIDS, MI US","2012-12-03",,"49"
"USC00202437","EATON RAPIDS, MI US","2012-12-04",,"49"
"USC00202437","EATON RAPIDS, MI US","2012-12-05",,"28"
"USC00202437","EATON RAPIDS, MI US","2012-12-06",,"28"
"USC00202437","EATON RAPIDS, MI US","2012-12-07",,"39"
"USC00202437","EATON RAPIDS, MI US","2012-12-10",,"37"
"USC00202437","EATON RAPIDS, MI US","2012-12-11",,"25"
"USC00202437","EATON RAPIDS, MI US","2012-12-12",,"26"
"USC00202437","EATON RAPIDS, MI US","2012-12-13",,"29"
"USC00202437","EATON RAPIDS, MI US","2012-12-16",,"47"
"USC00202437","EATON RAPIDS, MI US","2012-12-17",,"39"
"USC00202437","EATON RAPIDS, MI US","2012-12-18",,"32"
"USC00202437","EATON RAPIDS, MI US","2012-12-19",,"35"
"USC00202437","EATON RAPIDS, MI US","2012-12-20",,"37"
"USC00202437","EATON RAPIDS, MI US","2012-12-21",,"31"
"USC00202437","EATON RAPIDS, MI US","2012-12-25",,"17"
"USC00202437","EATON RAPIDS, MI US","2012-12-26",,"27"
"USC00202437","EATON RAPIDS, MI US","2012-12-27",,"23"
"USC00202437","EATON RAPIDS, MI US","2012-12-28",,"19"
"USC00202437","EATON RAPIDS, MI US","2012-12-29",,"25"
"USC00202437","EATON RAPIDS, MI US","2012-12-30",,"28"
"USC00202437","EATON RAPIDS, MI US","2013-01-01",,"20"
"USC00202437","EATON RAPIDS, MI US","2013-01-02",,"22"
"USC00202437","EATON RAPIDS, MI US","2013-01-03",,"18"
"USC00202437","EATON RAPIDS, MI US","2013-01-04",,"25"
"USC00202437","EATON RAPIDS, MI US","2013-01-07",,"26"
"USC00202437","EATON RAPIDS, MI US","2013-01-08",,"26"
"USC00202437","EATON RAPIDS, MI US","2013-01-09",,"38"
"USC00202437","EATON RAPIDS, MI US","2013-01-10",,"23"
"USC00202437","EATON RAPIDS, MI US","2013-01-11",,"40"
"USC00202437","EATON RAPIDS, MI US","2013-01-12",,"49"
"USC00202437","EATON RAPIDS, MI US","2013-01-13",,"36"
"USC00202437","EATON RAPIDS, MI US","2013-01-14",,"22"
"USC00202437","EATON RAPIDS, MI US","2013-01-15",,"11"
"USC00202437","EATON RAPIDS, MI US","2013-01-16",,"15"
"USC00202437","EATON RAPIDS, MI US","2013-01-17",,"29"
"USC00202437","EATON RAPIDS, MI US","2013-01-18",,"17"
"USC00202437","EATON RAPIDS, MI US","2013-01-21",,"14"
"USC00202437","EATON RAPIDS, MI US","2013-01-22",,"14"
"USC00202437","EATON RAPIDS, MI US","2013-01-23",,"6"
"USC00202437","EATON RAPIDS, MI US","2013-01-24",,"6"
"USC00202437","EATON RAPIDS, MI US","2013-01-25",,"14"
"USC00202437","EATON RAPIDS, MI US","2013-01-26",,"19"
"USC00202437","EATON RAPIDS, MI US","2013-01-27",,"20"
"USC00202437","EATON RAPIDS, MI US","2013-01-28",,"40"
"USC00202437","EATON RAPIDS, MI US","2013-01-29",,"47"
"USC00202437","EATON RAPIDS, MI US","2013-01-30",,"48"
"USC00202437","EATON RAPIDS, MI US","2013-01-31",,"22"
"USC00202437","EATON RAPIDS, MI US","2013-02-01",,"15"
"USC00202437","EATON RAPIDS, MI US","2013-02-04",,"16"
"USC00202437","EATON RAPIDS, MI US","2013-02-05",,"5"
"USC00202437","EATON RAPIDS, MI US","2013-02-06",,"8"
"USC00202437","EATON RAPIDS, MI US","2013-02-07",,"26"
"USC00202437","EATON RAPIDS, MI US","2013-02-08",,"27"
"USC00202437","EATON RAPIDS, MI US","2013-02-11",,"39"
"USC00202437","EATON RAPIDS, MI US","2013-02-12",,"30"
"USC00202437","EATON RAPIDS, MI US","2013-02-13",,"26"
"USC00202437","EATON RAPIDS, MI US","2013-02-14",,"32"
"USC00202437","EATON RAPIDS, MI US","2013-02-15",,"24"
"USC00202437","EATON RAPIDS, MI US","2013-02-18",,"23"
"USC00202437","EATON RAPIDS, MI US","2013-02-19",,"27"
